id,lat,lng,iconExName,contentHtml,iconFill
1,25.0187,121.48434,,<i class='fas fa-hamburger'></i>,#a11
2,25.0187,121.49434,A,<i class='fas fa-user-tie'></i>,#1a1
3,25.0187,121.50434,B,<i class='fas fa-house-user'></i>,#11a
4,25.0187,121.51434,C,<i class='fas fa-taxi'></i>,#aa1
5,25.0187,121.52434,D,<i class='fas fa-university'></i>,#1aa
6,25.0187,121.53434,,<i class='fas fa-umbrella-beach'></i>,#a1a
7,25.0187,121.54434,A,<span style='font-weight: bold'>A</span>,#a11
8,25.0287,121.48434,B,<span style='font-weight: bold'>13</span>,#1a1
9,25.0287,121.49434,C,<span style='font-weight: bold'>正</span>,#11a
10,25.0287,121.50434,D,<i class='fas fa-hamburger'></i>,#aa1
11,25.0287,121.51434,,<i class='fas fa-user-tie'></i>,#1aa
12,25.0287,121.52434,A,<i class='fas fa-house-user'></i>,#a1a
13,25.0287,121.53434,B,<i class='fas fa-taxi'></i>,#a11
14,25.0287,121.54434,C,<i class='fas fa-university'></i>,#1a1
15,25.0387,121.48434,D,<i class='fas fa-umbrella-beach'></i>,#11a
16,25.0387,121.49434,,<span style='font-weight: bold'>A</span>,#aa1
17,25.0387,121.50434,A,<span style='font-weight: bold'>13</span>,#1aa
18,25.0387,121.51434,B,<span style='font-weight: bold'>正</span>,#a1a
19,25.0387,121.52434,C,<i class='fas fa-hamburger'></i>,#a11
20,25.0387,121.53434,D,<i class='fas fa-user-tie'></i>,#1a1
21,25.0387,121.54434,,<i class='fas fa-house-user'></i>,#11a
22,25.0487,121.48434,A,<i class='fas fa-taxi'></i>,#aa1
23,25.0487,121.49434,B,<i class='fas fa-university'></i>,#1aa
24,25.0487,121.50434,C,<i class='fas fa-umbrella-beach'></i>,#a1a
25,25.0487,121.51434,D,<span style='font-weight: bold'>A</span>,#a11
26,25.0487,121.52434,,<span style='font-weight: bold'>13</span>,#1a1
27,25.0487,121.53434,A,<span style='font-weight: bold'>正</span>,#11a
28,25.0487,121.54434,B,<i class='fas fa-hamburger'></i>,#aa1
29,25.0587,121.48434,C,<i class='fas fa-user-tie'></i>,#1aa
30,25.0587,121.49434,D,<i class='fas fa-house-user'></i>,#a1a
31,25.0587,121.50434,,<i class='fas fa-taxi'></i>,#a11
32,25.0587,121.51434,A,<i class='fas fa-university'></i>,#1a1
33,25.0587,121.52434,B,<i class='fas fa-umbrella-beach'></i>,#11a
34,25.0587,121.53434,C,<span style='font-weight: bold'>A</span>,#aa1
35,25.0587,121.54434,D,<span style='font-weight: bold'>13</span>,#1aa
36,25.0687,121.48434,,<span style='font-weight: bold'>正</span>,#a1a
37,25.0687,121.49434,A,<i class='fas fa-hamburger'></i>,#a11
38,25.0687,121.50434,B,<i class='fas fa-user-tie'></i>,#1a1
39,25.0687,121.51434,C,<i class='fas fa-house-user'></i>,#11a
40,25.0687,121.52434,D,<i class='fas fa-taxi'></i>,#aa1
41,25.0687,121.53434,,<i class='fas fa-university'></i>,#1aa
42,25.0687,121.54434,A,<i class='fas fa-umbrella-beach'></i>,#a1a
43,25.0787,121.48434,B,<span style='font-weight: bold'>A</span>,#a11
44,25.0787,121.49434,C,<span style='font-weight: bold'>13</span>,#1a1
45,25.0787,121.50434,D,<span style='font-weight: bold'>正</span>,#11a
46,25.0787,121.51434,,<i class='fas fa-hamburger'></i>,#aa1
47,25.0787,121.52434,A,<i class='fas fa-user-tie'></i>,#1aa
48,25.0787,121.53434,B,<i class='fas fa-house-user'></i>,#a1a
49,25.0787,121.54434,C,<i class='fas fa-taxi'></i>,#a11
