lat,lng,name,location,mday,total,bikes,parks
25.02605,121.54360,MRT Technology Bldg. Sta.,"No.235, Sec. 2, Fuxing S. Rd.",2024-06-23 08:51:20,28,3,25
25.02565,121.54357,"No.273, Sec. 2, Fuxing S. Rd.","No.273, Sec. 2, Fuxing S. Rd. (West)",2024-06-23 08:50:30,21,2,19
25.02429,121.54124,NTUE Experiment Elementary School (East),"No. 7, Ln. 96, Sec. 2, Heping E. Rd",2024-06-23 08:31:20,16,10,6
25.02351,121.54282,Heping Park (East),"No. 33, Ln. 118, Sec. 2, Heping E. Rd",2024-06-23 08:50:31,11,6,5
25.02153,121.54299,Xinhai Fuxing Rd. Intersection (Northwest),"No. 368, Sec. 2, Fuxing S. Rd.",2024-06-23 08:44:20,16,15,1
25.02429,121.54328,"No. 280, Sec. 2, Fuxing S. Rd.","No. 280, Sec. 2, Fuxing S. Rd.",2024-06-23 08:17:34,11,4,7
25.02253,121.54326,"Ln. 340, Sec. 2, Fuxing S. Rd.","No. 342, Sec. 2, Fuxing S. Rd.",2024-06-23 08:42:19,11,2,9
25.02112,121.53407,"No. 52, Sec. 3, Xinsheng S. Rd.","No. 52, Sec. 3, Xinsheng S. Rd.",2024-06-23 08:50:31,17,6,11
25.01976,121.53384,"No. 66, Sec. 3, Xinsheng S. Rd.","No. 66, Sec. 3, Xinsheng S. Rd. (East)",2024-06-23 08:43:20,16,2,14
25.01894,121.53361,"No. 82, Sec. 3, Xinsheng S. Rd.","No. 82, Sec. 3, Xinsheng S. Rd.",2024-06-23 08:50:31,20,18,2
25.01986,121.52982,"No. 30, Sec. 1, Xinhai Rd.","No. 30, Sec. 1, Xinhai Rd.",2024-06-23 08:42:20,8,2,6
25.02543,121.54332,Heping Fuxing Rd. Intersection (Northwest),"No. 236, Sec. 2, Fuxing S. Rd.",2024-06-23 08:48:20,9,4,5
25.01717,121.53202,"No. 311, Sec. 3, Roosevelt Rd.","No. 311, Sec. 3, Roosevelt Rd.",2024-06-23 08:49:15,11,1,10
25.02035,121.54645,Taipei Da-an Sports Center Parking lot,"No. 28, Ln. 76, Dunnan St.",2024-06-23 08:45:22,14,11,3
25.01927,121.52989,"No. 245, Sec. 3, Roosevelt Rd.","No. 245, Sec. 3, Roosevelt Rd.",2024-06-23 08:43:20,8,4,4
25.01895,121.53156,Wenzhou Park,"No. 11, Ln. 283, Sec. 3, Roosevelt Rd.",2024-06-23 08:48:20,5,4,1
25.02446,121.54671,Heping Wolong St. Intersection,"No. 1, Wolong St.",2024-06-23 08:48:20,15,13,2
25.02093,121.53310,Wenzhou Parking Lot,"Ln. 54, Sec. 3, Xinsheng S. Rd. & Wenzhou St. Intersection",2024-06-03 14:08:52,5,0,5
25.01385,121.53549,Taipei Municipal MingChuan Elementary School(Side Gate),"No. 21, Sec. 4, Roosevelt Rd.",2024-06-23 08:49:20,7,3,4
25.01491,121.53438,MRT Gongguan Sta. (Exit 2),MRT Gongguan Sta. (Exit 2),2024-06-23 08:51:20,99,22,41
25.01244,121.53661,2nd Student Activity Center,"No. 107, Sec. 4, Roosevelt Rd.(Southwest)",2024-06-23 08:45:22,25,6,19
25.01451,121.54142,NTUST(Main Gate),"No. 43, Sec. 4, Keelung Rd.",2024-06-23 08:51:20,50,6,44
25.01295,121.53973,NTUST(Side Gate),"Ln. 73, Sec. 4, Keelung Rd. Intersection",2024-06-23 08:46:20,99,45,54
25.01137,121.54062,Gongguan Park,"Ln. 113, Sec. 4, Roosevelt Rd. & Ln. 41, Sec. 4, Keelung Rd. Intersection",2024-06-23 08:50:30,15,2,13
25.01182,121.54165,NTUST(Back Gate),"Aly. 68, Ln. 41, Sec. 4, Keelung Rd.",2024-06-23 08:48:20,39,11,28
25.01426,121.54382,NTU Cancer Center,"No. 57, Ln. 155, Sec. 3, Keelung Rd.(West)",2024-06-23 08:49:20,20,13,7
25.01234,121.54503,NTU Environment Research Building,"Fanglan Rd & Ln. 155, Sec. 3, Keelung Rd. Intersection",2024-06-23 08:28:19,15,2,13
25.01360,121.54656,NTU Yonglin Biomedical Engineering Hall,"No. 51, Fanglan Rd.(Northwest)",2024-06-23 08:45:22,34,15,19
25.01537,121.54698,NTU 7th Men's Dorm,"Ln. 80, Changxing St. Intersection(West)",2024-06-23 08:50:31,20,6,14
25.01637,121.54535,NTU 1st Men's Dorm,"No. 50, Changxing St.(Northwest)",2024-06-23 08:51:20,61,39,22
25.01664,121.54520,NTU 6th Men's Dorm,"No. 31, Changxing St.",2024-06-23 08:48:20,46,25,21
25.01576,121.54291,NTU Veterinary Hospital,"Ln. 155, Sec. 3, Keelung Rd. Intersection",2024-06-23 08:40:31,18,15,3
25.01787,121.54760,NTU Civil Engineering Research Building,"No. 188, Sec. 3, Xinhai Rd.",2024-06-23 08:13:19,24,7,17
25.02032,121.54497,NTU Wan Tsai Research Hall,NTU Wan Tsai Research Hall,2024-06-23 08:43:20,20,3,17
25.02076,121.54432,NTU Guo - Ching Building,"No. 30, Sec. 3, Xinhai Rd.(Northwest)",2024-06-23 08:48:20,20,5,15
25.02101,121.54284,NTU College of social Sciences Building,Xinhai Fuxing Rd. Intersection (Southwest),2024-06-23 08:36:20,27,4,23
25.02104,121.54081,NTU Language Training & Testing Center,NTU Language Training & Testing Center(North),2024-06-23 08:49:20,28,27,1
25.02220,121.53626,NTU Sports Center Car Park,NTU Sports Center(North),2024-06-23 08:35:21,25,23,2
25.02218,121.53474,Xinhai Xinsheng Rd. Intersection (Southeast),Xinhai Xinsheng Rd. Intersection (Southeast),2024-06-23 08:42:19,41,36,5
25.01727,121.54471,Keelung Changxing Rd. Intersection(East),Keelung Changxing Rd. Intersection(East),2024-06-23 08:48:20,15,12,3
25.02286,121.54662,NTUE Side Gate(South),"No. 51, Dunnan St.",2024-06-23 08:48:20,25,10,15
25.02164,121.54704,Heping Experiment Elementary School (Northeast),"No. 73, Dunnan St.",2024-06-23 07:42:20,13,9,4
25.02147,121.54407,Daan District Public Health Center,"No. 15, Sec. 1, Xinhai Rd.",2024-06-23 08:47:20,15,11,4
25.02193,121.53165,Xinhai Taishun St. Intersection,Xinhai Taishun St. Intersection (Southeast),2024-06-23 08:48:20,20,14,6
25.01890,121.55013,Fanghe Junior High School,"No. 170, Wolong St.",2024-06-23 08:40:31,37,20,17
25.01856,121.55558,Wolong Leye St. Intersection,"No. 234-2, Wolong St.",2024-06-23 08:44:20,41,25,16
25.01623,121.55037,Wolong Park,"No. 223, Sec. 3, Xinhai Rd. (West)",2024-06-23 08:42:20,14,9,5
25.02100,121.55211,Jiaxing Park,"No. 3, Ln. 101, Leye St. (Northwest)",2024-06-23 08:50:31,44,19,25
25.01810,121.55929,MRT Linguang Sta. (Exit 2),"No. 420, Sec. 3, Heping E. Rd. (Northeast)",2024-06-23 08:51:20,50,48,2
25.02397,121.55266,MRT Liuzhangli Sta.,"No. 410, Sec. 3, Heping E. Rd.",2024-06-23 08:50:31,64,58,6
25.02705,121.55551,George Vocational High School of Taipei,"No. 166, Sec. 2, Keelung Rd.",2024-06-23 08:51:20,24,8,16
25.02694,121.55325,Fazhi Park,"No. 189, Tonghua St. (West)",2024-06-23 08:43:15,15,14,0
25.02021,121.52942,MRT Taipower Building Sta. (Exit 2),"Sec. 1, Xinhai Rd & Sec. 3, Roosevelt Rd (North)",2024-06-23 08:49:20,18,10,8
25.02669,121.52529,"Sec. 1, Heping E. Rd & Sec. 2, Jinshan S. Rd Intersection","Sec. 1, Heping E. Rd & Sec. 2, Jinshan S. Rd Intersection (Southwest)",2024-06-23 08:51:20,45,15,30
25.02638,121.52971,"Sec. 1, Heping E. Rd & Longquan St. Intersection","Sec. 1, Heping E. Rd & Longquan St. Intersection (Southwest)",2024-06-23 08:50:31,34,16,18
25.02621,121.53171,"Sec. 1, Heping E. Rd & Taishun St  Intersection","Sec. 1, Heping E. Rd & Taishun St  Intersection (Southeast)",2024-06-23 08:50:30,9,6,3
25.02660,121.52973,National Taiwan Normal University (library),"No. 129, Sec. 1, Heping E. Rd.",2024-06-23 08:51:20,40,26,12
25.02760,121.52217,MRT Guting Sta. (Exit 6),"No. 41, Sec. 2, Roosevelt Rd",2024-06-23 08:51:20,60,35,25
25.02715,121.52293,MRT Guting Sta. (Exit 5),"No. 19, Sec. 1, Heping E. Rd",2024-06-23 08:50:31,14,2,12
25.02895,121.53790,Taipei Public library,"Sec. 2, Jianguo S. Rd & Ln. 151, Sec. 2, Jianguo S. Rd (Under Bridge)",2024-06-23 08:50:31,51,7,44
25.02657,121.53515,"Sec. 2, Xinsheng S. Rd & Sec. 2, Heping E. Rd Intersection","Sec. 2, Xinsheng S. Rd & Sec. 2, Heping E. Rd (Northeast)",2024-06-23 08:51:20,51,35,15
25.02606,121.53738,"Sec. 2, Jianguo S. Rd & Sec. 2, Heping E. Rd Intersection","Sec. 2, Jianguo S. Rd & Sec. 2, Heping E. Rd. (Northwest)",2024-06-23 08:51:20,50,40,10
25.02984,121.53107,Jinhua Park,"No. 249, Jinhua St. (Opposite)",2024-06-23 08:46:20,44,6,38
25.03383,121.52815,MRT Dongmen Sta. (Exit 3),"No. 128, Sec. 2, Xinyi Rd.",2024-06-23 08:50:31,15,7,8
25.03519,121.52450,Jin'ou Girls High School,"Sec. 2, Xinyi Rd. & Sec. 2, Hangzhou S. Rd. (Southeast)",2024-06-23 08:51:20,12,12,0
25.03325,121.52436,Jinhang Park,"Ln. 21, Aiguo E. Rd. & Ln. 25, Sec. 2, Hangzhou S. Rd. Intersection (Southeast)",2024-06-23 08:31:20,20,15,5
25.03164,121.52661,Aiguo & Jinshan Rd. Intersection,"Aiguo E. Rd. & Sec. 2, Hangzhou S. Rd. Intersection (Southwest)",2024-06-23 08:48:20,43,21,22
25.02370,121.54899,"Ln. 293, Sec. 2, Dunhua S. Rd (South)","Ln. 293, Sec. 2, Dunhua S. Rd. (South)",2024-06-23 08:46:14,14,14,0
25.02215,121.54839,"Sec. 2, Dunhua S. Rd & Sec. 2, Keelung Rd Intersection","No. 218, Sec. 2, Dunhua S. Rd",2024-06-23 08:50:31,38,14,24
25.02721,121.54988,"Ln. 181, Sec. 2, Anhe Rd","No185, Sec. 2, Anhe Rd",2024-06-23 08:43:19,17,3,14
25.02952,121.55406,"Linjiang St night market (Ln. 101, Tonghua St)","No. 101, Tonghua St.",2024-06-23 08:49:20,30,24,4
25.02931,121.55721,Linjiang St night market (Keelung Rd),"No. 108, Sec. 2, Keelung Rd.",2024-06-23 08:48:15,29,1,28
25.04177,121.53833,National Taipei University of Technology (Everlight Building),"No. 81, Sec. 3, Zhongxiao E. Rd.",2024-06-23 08:44:20,45,26,19
25.04003,121.53299,"Ln. 119, Sec. 1, Xinsheng S. Rd Intersection","No. 113, Ln. 119, Sec. 1, Xinsheng S. Rd.",2024-06-23 08:51:20,33,14,19
25.03753,121.53523,Xing'an Elementary School (Ren'ai Rd),"No. 22, Sec. 3, Ren'ai Rd.",2024-06-23 08:50:31,16,4,12
25.03534,121.53540,Minrong Park,"No. 45, Ln. 304, Sec. 1, Jianguo S. Rd. (South)",2024-06-23 08:48:20,15,9,6
25.03701,121.54348,"Ln. 340, Sec. 1, Fuxing S. Rd Intersection","Sec. 1, Fuxing S. Rd & Aly. 45, Ln. 147, Sec. 3, Xinyi Rd Intersection.",2024-06-23 08:50:31,50,27,23
25.03935,121.53828,"Sec. 1, Jianguo S. Rd & Sec. 3, Jinan Rd Intersection","Sec. 1, Jianguo S. Rd & Sec. 3, Jinan Rd Intersection. (Southeast)",2024-06-23 08:45:22,54,11,43
25.04035,121.54360,MRT Zhongxiao Fuxing Sta (Exit 2),"Sec. 1, Fuxing S. R & Aly. 13, Ln. 123, Sec. 3, Ren'ai Rd. (Northwest)",2024-06-23 08:51:20,43,14,29
25.03320,121.54390,MRT Da’an Sta (Exit 4),"No. 6, Sec. 4, Xinyi Rd.",2024-06-23 08:51:20,13,9,4
25.03358,121.54141,MRT Da’an Sta (Exit 2),"No. 143, Sec. 3, Xinyi Rd.",2024-06-23 08:33:20,22,8,14
25.03317,121.54639,"Sec. 4, Xinyi Rd & Da’an Rd Intersection (Xinwei Building)","No. 74, Sec. 4, Xinyi Rd.",2024-06-23 08:50:31,18,14,4
25.04092,121.54825,Long Men Plaza,"Sec. 1, Dunhua S. Rd & Ln. 236, Sec. 1, Dunhua S. Rd Intersection.",2024-06-23 08:50:31,70,10,60
25.03754,121.55285,"Sec. 4, Ren'ai Rd & Sec. 1, Anhe Rd Intersection","No. 74, Sec. 4, Ren'ai Rd.",2024-06-23 08:48:20,33,3,30
25.03333,121.54977,"Sec. 4, Xinyi Rd & Sec. 1, Dunhua S. Rd Intersection","No. 155, Sec. 4, Xinyi Rd",2024-06-23 08:49:20,52,26,25
25.03706,121.55166,Ren Ai Junior High School,"No. 75, Sec. 1, Anhe Rd.",2024-06-23 08:08:20,25,2,23
25.03304,121.55171,MRT Xinyi Anhe Sta (Exit 2),"No. 188, Sec. 4, Xinyi Rd",2024-06-23 08:46:20,24,3,20
25.04463,121.53665,Bade Traditional Market,"No. 170, Sec. 3, Civic Blvd.",2024-06-23 08:49:20,30,18,12
25.04448,121.53946,Changlong Park,"No. 206, Sec. 3, Civic Blvd. (West)",2024-06-23 08:40:31,16,9,7
25.03332,121.53435,MRT Daan Park Sta. (Exit 2),MRT Daan Park Sta. (Exit 2) (West),2024-06-23 08:50:31,69,52,17
25.03318,121.55725,"Sec. 4,Xinyi Rd & Yanji St Intersection","No. 353, Sec. 4, Xinyi Rd.",2024-06-23 08:47:20,15,3,12
